mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Cdc42,CDC42,-0.1093313278778161,0.2089626205632159,0.34285714285714286,1.0,6.113084414608575e-119,False
Cdip1,CDIP1,-0.3484144486762868,0.012081268090761342,0.34285714285714286,1.0,5.711848272773884e-116,False
Celf2,CELF2,-0.0397191781267302,-0.06546979249782348,0.6857142857142857,1.0,2.736251532354659e-06,True
Celf4,CELF4,-0.3633167247439415,-0.04222933638887971,1.0,1.0,0.0,True
Cend1,CEND1,-0.0732411181312392,0.08211336378036072,0.1,0.9506493506493506,3.2318595938111696e-136,False
Cfap36,CFAP36,-0.1165837545959818,-0.02216685144542241,1.0,1.0,1.2743643398277714e-11,True
Chmp2b,CHMP2B,0.2514523278653714,0.06975313704584596,1.0,1.0,0.0001929941126342,True
Chmp3,CHMP3,0.2044414978337538,-0.14664166657116173,0.11428571428571428,0.9506493506493506,3.2155111955082006e-10,False
Chn1,CHN1,-0.0265703294174888,0.07804198535030582,0.4857142857142857,1.0,3.050273685620608e-21,False
Clcn4,CLCN4,-0.3120185252272709,-0.04316831683168321,1.0,1.0,1.8578943870952258e-23,True
Cltc,CLTC,0.0567201285023998,-0.009305770113632872,0.7,1.0,9.899385747616079e-39,False
Cmpk1,CMPK1,-0.8069909790154486,0.004013294859108396,1.0,1.0,1.6533007559589849e-106,False
Cnksr2,CNKSR2,-0.8033215270375372,-0.00851031905522448,1.0,1.0,2.5123806161657625e-122,True
Cnp,CNP,-0.0885533197117989,-0.43682949283198236,0.6857142857142857,1.0,1.4826085884593798e-68,True
Cntn1,CNTN1,0.0484823306063659,0.02081400360025909,1.0,1.0,8.111064946862981e-17,True
Cops2,COPS2,-0.1090806625894258,0.09059570514536686,0.34285714285714286,1.0,0.140297402717057,False
Cox6c,COX6C,-0.1698082650592401,0.13488555640587396,0.1,0.9506493506493506,0.0,False
Csde1,CSDE1,0.0917573814717206,-0.009358899864219228,0.8857142857142857,1.0,8.587546839884661e-10,False
Csmd1,CSMD1,0.3813724602923209,-0.16923780718180403,0.2,0.9695364238410596,0.0021168215811328,False
Csnk1a1,CSNK1A1,-0.3131032577003099,0.059539986976126946,0.4,1.0,5.291912775065017e-47,False
Ctnnd2,CTNND2,0.0817267280475408,-0.0151742193275064,0.4857142857142857,1.0,3.707006106844486e-06,False
Ctsb,CTSB,-0.926281259951342,0.020594276997423444,0.6857142857142857,1.0,0.0,False
Cul3,CUL3,-0.3454830642575651,-0.24573996265172737,0.4,1.0,7.114202482738161e-12,True
Cycs,CYCS,0.0683942614351758,-0.060996085892779384,0.34285714285714286,1.0,1.8799174267176463e-67,False
Dcaf8,DCAF8,-0.0074827999844385,0.2325923354388434,0.2,0.9695364238410596,0.8250025160027202,False
