gene,n_disease,n_control,median_disease,median_control,delta_disease_minus_control,cliffs_delta,p_value,fdr_BH,delta_ci95_lo,delta_ci95_hi
PTK2,4,4,0.8424085626911315,0.9599832491777798,-0.11757468648664826,-0.875,0.05714285714285714,0.9506493506493506,,
DNAJC5,4,4,0.836327865788121,0.9178090083262497,-0.08148114253812866,-0.875,0.05714285714285714,0.9506493506493506,,
RPS25,4,4,0.5514692811243627,0.31008709802847734,0.24138218309588533,0.875,0.05714285714285714,0.9506493506493506,,
HERC1,3,3,0.9420468557336621,0.9677942070083047,-0.02574735127464256,-1.0,0.1,0.9506493506493506,,
HNRNPA1,3,3,0.06740331491712707,0.8737553034894796,-0.8063519885723526,-1.0,0.1,0.9506493506493506,,
THY1,3,3,0.9673539518900344,0.7899246948844456,0.17742925700558876,1.0,0.1,0.9506493506493506,,
N4BP2L1,3,3,0.7687074829931972,0.8846572361262242,-0.11594975313302691,-1.0,0.1,0.9506493506493506,,
IFNAR1,3,3,0.5619834710743802,0.7,-0.13801652892561977,-1.0,0.1,0.9506493506493506,,
ZNF638,3,3,0.7325227963525835,0.8864864864864865,-0.153963690133903,-1.0,0.1,0.9506493506493506,,
KCNB1,3,3,0.6602564102564102,0.8332165381920112,-0.172960127935601,-1.0,0.1,0.9506493506493506,,
MIAT,3,3,0.49912739965095987,0.9793103448275862,-0.4801829451766263,-1.0,0.1,0.9506493506493506,,
MAP9,3,3,0.5712309820193637,0.8025751072961373,-0.23134412527677362,-1.0,0.1,0.9506493506493506,,
TAF1D,3,3,0.9521640091116174,0.5972443031266561,0.35491970598496125,1.0,0.1,0.9506493506493506,,
RPS14,3,3,0.4488656823910695,0.8262929997594419,-0.37742731736837243,-1.0,0.1,0.9506493506493506,,
RPS23,3,3,0.3953049370764763,0.05989442005032315,0.33541051702615315,1.0,0.1,0.9506493506493506,,
RPS18,3,3,0.4355602314571278,0.7443542275630616,-0.3087939961059338,-1.0,0.1,0.9506493506493506,,
ASB8,3,3,0.522077922077922,0.941725812476653,-0.41964789039873096,-1.0,0.1,0.9506493506493506,,
MRPL28,3,3,0.8988326848249028,0.9385412810070344,-0.03970859618213163,-1.0,0.1,0.9506493506493506,,
XRCC5,3,3,0.8296382730455076,0.9271523178807947,-0.09751404483528703,-1.0,0.1,0.9506493506493506,,
MOSMO,3,3,0.9008264462809917,0.07136237256719184,0.8294640737137999,1.0,0.1,0.9506493506493506,,
SF3B2,3,3,0.9676498572787822,0.6021871638580136,0.36546269342076854,1.0,0.1,0.9506493506493506,,
ILF3-DT,3,3,0.5714285714285714,0.6370370370370371,-0.06560846560846567,-1.0,0.1,0.9506493506493506,,
LARP6,3,3,0.850835322195704,0.8039900249376558,0.0468452972580482,1.0,0.1,0.9506493506493506,,
ANKIB1,3,3,0.29172932330827067,0.4417293233082707,-0.15000000000000002,-1.0,0.1,0.9506493506493506,,
STOX2,3,3,0.7178423236514523,0.9027522935779817,-0.18490996992652942,-1.0,0.1,0.9506493506493506,,
POLR2F,3,3,0.31527093596059114,0.19914346895074947,0.11612746700984167,1.0,0.1,0.9506493506493506,,
PMEPA1,3,3,0.4954682779456193,0.7301410541945063,-0.23467277624888694,-1.0,0.1,0.9506493506493506,,
PBXIP1,3,3,0.9104166666666667,0.7883710987601539,0.12204556790651278,1.0,0.1,0.9506493506493506,,
CA10,3,3,0.6052631578947368,0.6693877551020408,-0.06412459720730401,-1.0,0.1,0.9506493506493506,,
TRIM2,3,3,0.9143135345666992,0.9776887871853547,-0.06337525261865551,-1.0,0.1,0.9506493506493506,,
DPYSL2,3,3,0.9948690251147718,0.7141444707433262,0.2807245543714456,1.0,0.1,0.9506493506493506,,
FGFR2,3,3,0.7977941176470589,0.6893333333333334,0.10846078431372552,1.0,0.1,0.9506493506493506,,
NEUROD2,3,3,0.350354609929078,0.5982991495747874,-0.24794453964570934,-1.0,0.1,0.9506493506493506,,
GLRX2,3,3,0.22815533980582525,0.366191904047976,-0.13803656424215077,-1.0,0.1,0.9506493506493506,,
ERO1A,3,3,0.8686440677966102,0.9017437961099933,-0.03309972831338315,-1.0,0.1,0.9506493506493506,,
PHIP,3,3,0.43983402489626555,0.8795454545454545,-0.43971142964918897,-1.0,0.1,0.9506493506493506,,
NRXN1,3,3,0.8397645519947678,0.9286367795059469,-0.08887222751117907,-1.0,0.1,0.9506493506493506,,
SLC25A12,3,3,0.37142857142857144,0.9716791979949875,-0.600250626566416,-1.0,0.1,0.9506493506493506,,
MTREX,3,3,0.27340823970037453,0.3165924984106802,-0.04318425871030568,-1.0,0.1,0.9506493506493506,,
MYO6,3,3,0.428169014084507,0.881578947368421,-0.453409933283914,-1.0,0.1,0.9506493506493506,,
RPL32,3,3,0.642919026991003,0.36801725357092346,0.27490177342007954,1.0,0.1,0.9506493506493506,,
GPATCH8,3,3,0.7087378640776699,0.933781686497672,-0.2250438224200021,-1.0,0.1,0.9506493506493506,,
FNIP2,3,3,0.7687687687687688,0.9222614840989399,-0.15349271533017117,-1.0,0.1,0.9506493506493506,,
SORBS2,3,3,0.8461538461538461,0.9556521739130435,-0.10949832775919732,-1.0,0.1,0.9506493506493506,,
BPNT2,3,3,0.7904761904761904,0.8396039603960396,-0.04912776991984913,-1.0,0.1,0.9506493506493506,,
BDH1,3,3,0.33980582524271846,0.24739583333333334,0.09240999190938512,1.0,0.1,0.9506493506493506,,
BOD1L1,3,3,0.5290178571428571,0.7833668678739101,-0.254349010731053,-1.0,0.1,0.9506493506493506,,
GFOD1,3,3,0.5,0.9604005461993628,-0.46040054619936277,-1.0,0.1,0.9506493506493506,,
BPTF,3,3,0.41338582677165353,0.8989095195991748,-0.4855236928275212,-1.0,0.1,0.9506493506493506,,
GOLGA7B,3,3,0.18974358974358974,0.9256080114449213,-0.7358644217013316,-1.0,0.1,0.9506493506493506,,
GRIN2A,3,3,0.4740740740740741,0.9112515802781289,-0.4371775062040548,-1.0,0.1,0.9506493506493506,,
NAV3,3,3,0.8803418803418803,0.9140826873385013,-0.033740806996620964,-1.0,0.1,0.9506493506493506,,
SPRYD7,3,3,0.452991452991453,0.5493291239147593,-0.0963376709233063,-1.0,0.1,0.9506493506493506,,
MACROH2A1,3,3,0.8910112359550562,0.9628210042161748,-0.07180976826111862,-1.0,0.1,0.9506493506493506,,
ZNF207,3,3,0.07142857142857142,0.20966569767441862,-0.1382371262458472,-1.0,0.1,0.9506493506493506,,
SCN1A,3,3,0.8533333333333334,0.9391634980988594,-0.08583016476552596,-1.0,0.1,0.9506493506493506,,
ZNF395,3,3,0.5977011494252874,0.7115384615384616,-0.11383731211317416,-1.0,0.1,0.9506493506493506,,
DIDO1,3,3,0.5901639344262295,0.7387152777777778,-0.1485513433515483,-1.0,0.1,0.9506493506493506,,
DHX29,3,3,0.6425339366515838,0.8095238095238095,-0.16698987287222578,-1.0,0.1,0.9506493506493506,,
DCLK2,3,3,0.936986301369863,0.9603174603174603,-0.023331158947597297,-1.0,0.1,0.9506493506493506,,
DMWD,3,3,0.5172413793103449,0.8580246913580247,-0.34078331204767986,-1.0,0.1,0.9506493506493506,,
CCSER2,3,3,0.8407643312101911,0.8763440860215054,-0.03557975481131426,-1.0,0.1,0.9506493506493506,,
ADGRB3-DT,3,3,0.9147058823529411,0.1391941391941392,0.7755117431588019,1.0,0.1,0.9506493506493506,,
AGFG1,3,3,0.5615615615615616,0.7066942719116632,-0.14513271035010167,-1.0,0.1,0.9506493506493506,,
ZFR,3,3,0.8898643256185156,0.9564,-0.06653567438148444,-1.0,0.1,0.9506493506493506,,
ADAM23,3,3,0.739454094292804,0.904093567251462,-0.164639472958658,-1.0,0.1,0.9506493506493506,,
AHI1,3,3,0.734375,0.9681668496158068,-0.2337918496158068,-1.0,0.1,0.9506493506493506,,
ADAM17,3,3,0.4970414201183432,0.6800382043935053,-0.18299678427516208,-1.0,0.1,0.9506493506493506,,
COX6C,3,3,0.40701430549146284,0.2721287490855889,0.13488555640587396,1.0,0.1,0.9506493506493506,,
PPM1L,3,3,0.8518518518518519,0.9736625514403292,-0.12181069958847734,-1.0,0.1,0.9506493506493506,,
CCNH,3,3,0.44144144144144143,0.09722222222222222,0.3442192192192192,1.0,0.1,0.9506493506493506,,
RALBP1,3,3,0.6552748885586924,0.9570724841660803,-0.30179759560738784,-1.0,0.1,0.9506493506493506,,
CEND1,3,3,0.9110225763612217,0.828909212580861,0.08211336378036072,1.0,0.1,0.9506493506493506,,
CREG2,3,3,0.9446467589220685,0.9240488358886996,0.020597923033368937,1.0,0.1,0.9506493506493506,,
PPP6R3,3,3,0.6590909090909091,0.9380733944954128,-0.27898248540450377,-1.0,0.1,0.9506493506493506,,
UBQLN2,3,3,0.10628019323671498,0.12575090108129755,-0.019470707844582574,-1.0,0.1,0.9506493506493506,,
ANP32B,3,3,0.7384615384615385,0.5828220858895705,0.15563945257196798,1.0,0.1,0.9506493506493506,,
AP2M1,3,3,0.9817174515235457,0.9959897094430993,-0.014272257919553555,-1.0,0.1,0.9506493506493506,,
ITFG1,3,3,0.48746518105849584,0.5615883306320908,-0.07412314957359495,-1.0,0.1,0.9506493506493506,,
MAVS,3,3,0.3708609271523179,0.779874213836478,-0.40901328668416015,-1.0,0.1,0.9506493506493506,,
RSRC2,3,3,0.7395715896279594,0.801922050186866,-0.062350460558906584,-1.0,0.1,0.9506493506493506,,
SRSF8,3,3,0.542016806722689,0.4619960343688037,0.08002077235388533,1.0,0.1,0.9506493506493506,,
INSR,3,3,0.48466257668711654,0.7404299947561616,-0.255767418069045,-1.0,0.1,0.9506493506493506,,
KPNA1,3,3,0.6334164588528678,0.3841897233201581,0.2492267355327097,1.0,0.1,0.9506493506493506,,
KPNA5,3,3,0.40268456375838924,0.9386018237082067,-0.5359172599498174,-1.0,0.1,0.9506493506493506,,
NSA2,4,4,0.3409090909090909,0.2228024369016536,0.11810665400743728,0.75,0.11021018267342113,0.9506493506493506,,
MAN1C1,4,4,0.32590374961438145,0.24806683236674953,0.07783691724763192,0.75,0.11428571428571428,0.9506493506493506,,
SAR1B,4,4,0.6579861111111112,0.7035113791028235,-0.045525267991712304,-0.75,0.11428571428571428,0.9506493506493506,,
SATB1,4,4,0.28044219199193854,0.8603280427104233,-0.5798858507184848,-0.75,0.11428571428571428,0.9506493506493506,,
DYNC1H1,4,4,0.9488507903739674,0.97881367098152,-0.02996288060755259,-0.75,0.11428571428571428,0.9506493506493506,,
RASGRF2,4,4,0.7412305436498985,0.9047032967032966,-0.16347275305339815,-0.75,0.11428571428571428,0.9506493506493506,,
UBE2B,4,4,0.2821905225049981,0.3478816463458625,-0.0656911238408644,-0.75,0.11428571428571428,0.9506493506493506,,
CALM1,4,4,0.7266360271245489,0.6579130382261624,0.06872298889838646,0.75,0.11428571428571428,0.9506493506493506,,
CADPS,4,4,0.7852843045049098,0.9547474077506521,-0.16946310324574232,-0.75,0.11428571428571428,0.9506493506493506,,
SMARCA5,4,4,0.33482142857142855,0.6039828672815389,-0.2691614387101104,-0.75,0.11428571428571428,0.9506493506493506,,
TTLL7,4,4,0.6262247780286606,0.7122103011857057,-0.08598552315704511,-0.75,0.11428571428571428,0.9506493506493506,,
TUBA1B,4,4,0.9937437950885184,0.971163094891581,0.022580700196937364,0.75,0.11428571428571428,0.9506493506493506,,
OLFM1,4,4,0.22116889575125315,0.3481641069202853,-0.12699521116903217,-0.75,0.11428571428571428,0.9506493506493506,,
TTC3,4,4,0.7558810649478751,0.8908280764994493,-0.13494701155157418,-0.75,0.11428571428571428,0.9506493506493506,,
FAM131A,4,4,0.566468695523163,0.6428042612926177,-0.07633556576945466,-0.75,0.11428571428571428,0.9506493506493506,,
ENSG00000285976,4,4,0.4512427175342981,0.5699187595841313,-0.11867604204983317,-0.75,0.11428571428571428,0.9506493506493506,,
ATP2B2,4,4,0.6412954912954913,0.9881555558943869,-0.3468600645988955,-0.75,0.11428571428571428,0.9506493506493506,,
ATP8A2,4,4,0.6325225707541431,0.766738032498902,-0.13421546174475896,-0.75,0.11428571428571428,0.9506493506493506,,
BCAP29,4,4,0.43944164868026575,0.6813945562120429,-0.24195290753177717,-0.75,0.11428571428571428,0.9506493506493506,,
RPL13,4,4,0.008118683382968141,0.6761716176707008,-0.6680529342877326,-0.75,0.11428571428571428,0.9506493506493506,,
RPL37,4,4,0.04815209132560003,0.5218261800715436,-0.4736740887459435,-0.75,0.11428571428571428,0.9506493506493506,,
RPL9,4,4,0.6604632478657639,0.509948461057514,0.15051478680824992,0.75,0.11428571428571428,0.9506493506493506,,
MAGI2-AS3,4,4,0.6477980741999434,0.8035328365435714,-0.15573476234362804,-0.75,0.11428571428571428,0.9506493506493506,,
SH3GL3,4,4,0.8800634218440123,0.938666081775795,-0.05860265993178271,-0.75,0.11428571428571428,0.9506493506493506,,
LZIC,4,4,0.8166666666666667,0.7652783680407991,0.05138829862586758,0.75,0.11428571428571428,0.9506493506493506,,
LRPPRC,4,4,0.5149843505477308,0.8177721661054994,-0.30278781555776857,-0.75,0.11428571428571428,0.9506493506493506,,
LIMCH1,4,4,0.8537692150030745,0.9353405488943114,-0.08157133389123694,-0.75,0.11428571428571428,0.9506493506493506,,
LUC7L3,4,4,0.7558280308040839,0.882057608479878,-0.12622957767579412,-0.75,0.11428571428571428,0.9506493506493506,,
ICA1L,4,4,0.5397449677545436,0.8982256124234471,-0.3584806446689035,-0.75,0.11428571428571428,0.9506493506493506,,
MPPED1,4,4,0.8608104127545196,0.9600861416155161,-0.09927572886099645,-0.75,0.11428571428571428,0.9506493506493506,,
SERP1,4,4,0.6675050671209941,0.8380732763756136,-0.17056820925461946,-0.75,0.11428571428571428,0.9506493506493506,,
HSPH1,4,4,0.7984255005555803,0.9096303983669154,-0.11120489781133513,-0.75,0.11428571428571428,0.9506493506493506,,
ASH1L,4,4,0.4104028592727182,0.7285616654794707,-0.31815880620675246,-0.75,0.11428571428571428,0.9506493506493506,,
MOBP,4,4,0.7401871354785214,0.577007509077192,0.16317962640132944,0.75,0.11428571428571428,0.9506493506493506,,
TEX264,4,4,0.8228421089929842,0.717049915568186,0.10579219342479818,0.75,0.11428571428571428,0.9506493506493506,,
HNRNPA0,4,4,0.6914343356298156,0.17618497973261996,0.5152493558971957,0.75,0.11428571428571428,0.9506493506493506,,
PRDX6,4,4,0.5440656745843772,0.5137577771279502,0.030307897456426924,0.75,0.11428571428571428,0.9506493506493506,,
CHMP3,4,4,0.5878462005511186,0.7344878671222803,-0.14664166657116173,-0.75,0.11428571428571428,0.9506493506493506,,
PSMD11,4,4,0.5598611707456705,0.6142081866594458,-0.05434701591377522,-0.75,0.11428571428571428,0.9506493506493506,,
CCNY,4,4,0.4436866001992684,0.5777141231919389,-0.1340275229926705,-0.75,0.11428571428571428,0.9506493506493506,,
VKORC1L1,4,4,0.7853457172342622,0.6490446428571428,0.13630107437711936,0.75,0.11428571428571428,0.9506493506493506,,
RAC1,4,4,0.5794174554315623,0.7620713153151095,-0.1826538598835472,-0.75,0.11428571428571428,0.9506493506493506,,
CLSTN3,4,4,0.8493665006580136,0.9599874086237143,-0.11062090796570079,-0.75,0.11428571428571428,0.9506493506493506,,
UBE2W,4,4,0.6809943465247755,0.48084126984126985,0.20015307668350568,0.75,0.11428571428571428,0.9506493506493506,,
RABEP1,4,4,0.7135997740432143,0.8694186233947665,-0.1558188493515522,-0.75,0.11428571428571428,0.9506493506493506,,
RAB11FIP4,4,4,0.81745705798786,0.589613538468776,0.227843519519084,0.75,0.11428571428571428,0.9506493506493506,,
PLCB1,4,4,0.8912188050119085,0.9543703127468974,-0.0631515077349889,-0.75,0.11428571428571428,0.9506493506493506,,
CDK16,4,4,0.5572339711312522,0.6020013774104683,-0.04476740627921616,-0.75,0.11428571428571428,0.9506493506493506,,
CD2BP2,4,4,0.6824739486029809,0.46028785951868517,0.22218608908429577,0.75,0.11428571428571428,0.9506493506493506,,
ACER3,4,4,0.5897867564534232,0.7703193578193579,-0.18053260136593474,-0.75,0.11428571428571428,0.9506493506493506,,
LRRC8B,4,4,0.5104351814689525,0.8596333827956066,-0.34919820132665413,-0.75,0.11428571428571428,0.9506493506493506,,
AHCYL1,4,4,0.7837811324425996,0.9944944400501906,-0.210713307607591,-0.75,0.11428571428571428,0.9506493506493506,,
AK2,4,4,0.22072771529293267,0.34334792214989945,-0.12262020685696678,-0.625,0.2,0.9695364238410596,,
ZHX3,3,3,0.7988505747126436,0.8441754916792739,-0.04532491696663021,-0.7777777777777778,0.2,0.9695364238410596,,
ADGRL1,3,3,0.8978102189781022,0.4369703389830508,0.4608398799950514,0.7777777777777778,0.2,0.9695364238410596,,
PSAP,3,3,0.9936667749269243,0.9739862280030605,0.019680546923863895,0.7777777777777778,0.2,0.9695364238410596,,
CCSAP,3,3,0.8716049382716049,0.914349901713002,-0.04274496344139711,-0.7777777777777778,0.2,0.9695364238410596,,
CLEC3B,3,3,0.6647398843930635,0.5408299866131191,0.12390989777994443,0.7777777777777778,0.2,0.9695364238410596,,
MALAT1,4,4,0.22098320708036817,0.34301716472423116,-0.12203395764386299,-0.625,0.2,0.9695364238410596,,
MAGI2,4,4,0.6670870113493064,0.770792031522662,-0.10370502017335559,-0.625,0.2,0.9695364238410596,,
MACF1,4,4,0.913326634293474,0.9602450503083415,-0.04691841601486746,-0.625,0.2,0.9695364238410596,,
KPNA4,4,4,0.7511482939632546,0.8281504671039555,-0.0770021731407009,-0.625,0.2,0.9695364238410596,,
KIF5C,3,3,0.7917981072555205,0.8396545885540129,-0.047856481298492404,-0.7777777777777778,0.2,0.9695364238410596,,
LINC00461,4,4,0.4200919364106493,0.5795085139318885,-0.15941657752123922,-0.625,0.2,0.9695364238410596,,
AP2B1,3,3,0.8689320388349514,0.8311874105865522,0.03774462824839919,0.7777777777777778,0.2,0.9695364238410596,,
AOPEP,3,3,0.8225806451612904,0.8610315186246418,-0.03845087346335141,-0.7777777777777778,0.2,0.9695364238410596,,
KALRN,4,4,0.6964813386340711,0.6524783084928596,0.04400303014121154,0.625,0.2,0.9695364238410596,,
MKNK1,3,3,0.860655737704918,0.933531746031746,-0.07287600832682806,-0.7777777777777778,0.2,0.9695364238410596,,
ST13,4,4,0.6782558774937314,0.8721404949253051,-0.1938846174315737,-0.625,0.2,0.9695364238410596,,
MBD1,3,3,0.8072289156626506,0.8792329661362709,-0.07200405047362024,-0.7777777777777778,0.2,0.9695364238410596,,
MARK3,4,4,0.6345455398895754,0.8810099277509227,-0.24646438786134728,-0.625,0.2,0.9695364238410596,,
CHMP1B,4,4,0.5249228395061729,0.5721617459497825,-0.04723890644360962,-0.625,0.2,0.9695364238410596,,
CEP57,3,3,0.5421686746987951,0.7552356020942408,-0.21306692739544564,-0.7777777777777778,0.2,0.9695364238410596,,
CELF5,3,3,0.615,0.8529993408042189,-0.23799934080421892,-0.7777777777777778,0.2,0.9695364238410596,,
PYGO2,3,3,0.6784869976359338,0.6163934426229508,0.06209355501298297,0.7777777777777778,0.2,0.9695364238410596,,
PUM2,3,3,0.7800369685767098,0.74048688253368,0.039550086043029786,0.7777777777777778,0.2,0.9695364238410596,,
RAD51C,3,3,0.7608695652173914,0.6699248120300751,0.09094475318731621,0.7777777777777778,0.2,0.9695364238410596,,
IPO9,4,4,0.48818646232439333,0.22608093741799612,0.2621055249063972,0.625,0.2,0.9695364238410596,,
ILF3,4,4,0.5309661172693754,0.7403012416265609,-0.2093351243571855,-0.625,0.2,0.9695364238410596,,
KCNMA1,4,4,0.7523533469122395,0.8427377580192514,-0.0903844111070119,-0.625,0.2,0.9695364238410596,,
MED29,4,4,0.6123741786662938,0.5208066640012619,0.09156751466503199,0.625,0.2,0.9695364238410596,,
IDH2,4,4,0.3038872047492737,0.2279605426301955,0.07592666211907823,0.625,0.2,0.9695364238410596,,
MTMR2,3,3,0.888235294117647,0.3499406880189798,0.5382946060986672,0.7777777777777778,0.2,0.9695364238410596,,
MPP2,3,3,0.7613293051359517,0.7132963988919667,0.04803290624398493,0.7777777777777778,0.2,0.9695364238410596,,
MPDZ,4,4,0.8424972120891376,0.9330626927565224,-0.09056548066738479,-0.625,0.2,0.9695364238410596,,
ARPP19,4,4,0.2880826912328983,0.33860181827890157,-0.050519127046003254,-0.625,0.2,0.9695364238410596,,
SF3B1,4,4,0.9430109451718494,0.21951857666143382,0.7234923685104155,0.625,0.2,0.9695364238410596,,
CNDP1,4,4,0.23001998001998003,0.70965626077103,-0.4796362807510499,-0.625,0.2,0.9695364238410596,,
SLC25A4,4,4,0.11567737636955877,0.14196204827303555,-0.026284671903476775,-0.625,0.2,0.9695364238410596,,
HSPA9,4,4,0.7409808262249014,0.8720789838711311,-0.13109815764622978,-0.625,0.2,0.9695364238410596,,
HSP90AA1,4,4,0.4993896849358305,0.783274691624438,-0.28388500668860744,-0.625,0.2,0.9695364238410596,,
HOMER1,3,3,0.631578947368421,0.8752129471890971,-0.24363399982067613,-0.7777777777777778,0.2,0.9695364238410596,,
NAA50,3,3,0.9664634146341463,0.8775153105861767,0.0889481040479696,0.7777777777777778,0.2,0.9695364238410596,,
MYEF2,3,3,0.6486486486486487,0.7862208713272543,-0.13757222267860558,-0.7777777777777778,0.2,0.9695364238410596,,
RRP7A,3,3,0.1724137931034483,0.5550239234449761,-0.3826101303415278,-0.7777777777777778,0.2,0.9695364238410596,,
RPS28,4,4,0.027959076133744192,0.14720748885122747,-0.11924841271748328,-0.625,0.2,0.9695364238410596,,
NDFIP2,3,3,0.7913175932977913,0.9409465914025185,-0.14962899810472718,-0.7777777777777778,0.2,0.9695364238410596,,
B3GAT2,3,3,0.7619047619047619,0.5264623955431755,0.23544236636158633,0.7777777777777778,0.2,0.9695364238410596,,
RPL4,4,4,0.9585910163341342,0.866117941647069,0.09247307468706523,0.625,0.2,0.9695364238410596,,
ATP6V1E1,3,3,0.8507547707205925,0.9193277310924369,-0.06857296037184446,-0.7777777777777778,0.2,0.9695364238410596,,
GRIA2,4,4,0.8360047318956032,0.9641257884199355,-0.12812105652433226,-0.625,0.2,0.9695364238410596,,
SRSF10,3,3,0.5240174672489083,0.32882882882882886,0.19518863842007944,0.7777777777777778,0.2,0.9695364238410596,,
GRSF1,4,4,0.8341328958417566,0.8782384379469865,-0.04410554210522988,-0.625,0.2,0.9695364238410596,,
NDUFC2,4,4,0.16396487633497353,0.3414171000887487,-0.17745222375377517,-0.625,0.2,0.9695364238410596,,
UBR5,4,4,0.5156498805732483,0.6000999141762844,-0.08445003360303605,-0.625,0.2,0.9695364238410596,,
UBL3,4,4,0.8642180143226061,0.8995101303423876,-0.03529211601978144,-0.625,0.2,0.9695364238410596,,
UBE2R2,3,3,0.2621184919210054,0.3319919517102616,-0.06987345978925619,-0.7777777777777778,0.2,0.9695364238410596,,
CSNK2A1,3,3,0.8938053097345132,0.3413751507840772,0.552430158950436,0.7777777777777778,0.2,0.9695364238410596,,
CSMD1,4,4,0.501463506751015,0.6707013139328191,-0.16923780718180403,-0.625,0.2,0.9695364238410596,,
TMEM183A,4,4,0.47018355176959903,0.7028039669606753,-0.23262041519107624,-0.625,0.2,0.9695364238410596,,
GNAS,4,4,0.9870807244631052,0.9539281767571138,0.03315254770599141,0.625,0.2,0.9695364238410596,,
NISCH,4,4,0.9034819544609958,0.8786242724256106,0.024857682035385187,0.625,0.2,0.9695364238410596,,
SPATA2,4,4,0.5931321273279186,0.6540004996633434,-0.06086837233542475,-0.625,0.2,0.9695364238410596,,
SORT1,4,4,0.9683132991672234,0.9342290876557449,0.03408421151147856,0.625,0.2,0.9695364238410596,,
BRD3OS,3,3,0.32751091703056767,0.1141732283464567,0.21333768868411096,0.7777777777777778,0.2,0.9695364238410596,,
ROCK2,4,4,0.6924070983760022,0.8028477190226082,-0.11044062064660598,-0.625,0.2,0.9695364238410596,,
RNF150,3,3,0.7558139534883721,0.8417564208782105,-0.08594246738983835,-0.7777777777777778,0.2,0.9695364238410596,,
SOD2,3,3,0.9473386183465459,0.9684477199447259,-0.021109101598180025,-0.7777777777777778,0.2,0.9695364238410596,,
SNX6,4,4,0.856829979378511,0.7241803706978154,0.13264960868069564,0.625,0.2,0.9695364238410596,,
FEZ1,4,4,0.791856592250293,0.7341122413038745,0.0577443509464185,0.625,0.2,0.9695364238410596,,
FER,3,3,0.4945054945054945,0.84,-0.34549450549450544,-0.7777777777777778,0.2,0.9695364238410596,,
NTRK3,3,3,0.7025641025641025,0.9276139410187667,-0.2250498384546642,-0.7777777777777778,0.2,0.9695364238410596,,
NEURL1,3,3,0.852112676056338,0.7568781583380123,0.0952345177183257,0.7777777777777778,0.2,0.9695364238410596,,
FUT8,3,3,0.1595744680851064,0.9352941176470588,-0.7757196495619525,-0.7777777777777778,0.2,0.9695364238410596,,
PKP4,4,4,0.7890895054345634,0.9232850616092344,-0.13419555617467105,-0.625,0.2,0.9695364238410596,,
DCLK1,4,4,0.8863926020875297,0.9522575719184065,-0.06586496983087686,-0.625,0.2,0.9695364238410596,,
DCAF8,4,4,0.7680980215827338,0.5355056861438904,0.2325923354388434,0.625,0.2,0.9695364238410596,,
CYRIA,3,3,0.8870292887029289,0.9856025595449698,-0.09857327084204093,-0.7777777777777778,0.2,0.9695364238410596,,
RCAN2,3,3,0.9059271343121261,0.9607413647851727,-0.054814230473046566,-0.7777777777777778,0.2,0.9695364238410596,,
RBFOX1,4,4,0.8810461269242337,0.926339146420553,-0.045293019496319364,-0.625,0.2,0.9695364238410596,,
RBBP4,4,4,0.2639612658480583,0.6640385871842398,-0.4000773213361815,-0.625,0.2,0.9695364238410596,,
C11orf58,3,3,0.9367311072056239,0.6810912511759172,0.25563985602970674,0.7777777777777778,0.2,0.9695364238410596,,
WDR82,3,3,0.7910592808551993,0.9799426934097422,-0.18888341255454288,-0.7777777777777778,0.2,0.9695364238410596,,
VSTM2A-OT1,3,3,0.6725,0.5824915824915825,0.09000841750841748,0.7777777777777778,0.2,0.9695364238410596,,
TOX4,3,3,0.504950495049505,0.8748882931188561,-0.3699377980693511,-0.7777777777777778,0.2,0.9695364238410596,,
NSFL1C,4,4,0.20744595995852277,0.6488072184013436,-0.4413612584428208,-0.625,0.2,0.9695364238410596,,
NSD2,4,4,0.8117405367602063,0.5449095405440583,0.26683099621614803,0.625,0.2,0.9695364238410596,,
ERCC1,3,3,0.6551724137931034,0.4833922261484099,0.17178018764469355,0.7777777777777778,0.2,0.9695364238410596,,
PAG1,3,3,0.5384615384615384,0.7091454272863568,-0.17068388882481833,-0.7777777777777778,0.2,0.9695364238410596,,
CUX1,3,3,0.764102564102564,0.6705157813702848,0.09358678273227927,0.7777777777777778,0.2,0.9695364238410596,,
RAB4A,4,4,0.35071206262378574,0.40064466407690147,-0.04993260145311573,-0.625,0.2,0.9695364238410596,,
RAB2A,4,4,0.49434234858992143,0.9164669917459008,-0.4221246431559794,-0.625,0.2,0.9695364238410596,,
R3HDM1,3,3,0.8369304556354916,0.9822306238185256,-0.14530016818303393,-0.7777777777777778,0.2,0.9695364238410596,,
CASTOR3P,3,3,0.9361702127659575,0.8784388995521433,0.057731313213814195,0.7777777777777778,0.2,0.9695364238410596,,
CAMSAP2,4,4,0.774320930793609,0.920573657327326,-0.14625272653371701,-0.625,0.2,0.9695364238410596,,
CAMK2N1,3,3,0.876134162503823,0.814813079733908,0.06132108276991499,0.7777777777777778,0.2,0.9695364238410596,,
SLC12A5,3,3,0.8524762908324552,0.9285268024490816,-0.07605051161662635,-0.7777777777777778,0.2,0.9695364238410596,,
PANK2,4,4,0.6420834766048615,0.14456718799100776,0.4975162886138538,0.625,0.2,0.9695364238410596,,
TSPYL1,4,4,0.047504023266685694,0.11973585331789866,-0.07223183005121296,-0.625,0.2,0.9695364238410596,,
SNORC,4,4,0.3430692585718472,0.6946879251299818,-0.35161866655813456,-0.625,0.2,0.9695364238410596,,
