gene,SRR24710558,SRR24710556,SRR24710554,SRR24710705,SRR24710703,SRR24710564,SRR24710562,SRR24710560
ADGRL3,0.7631785995279308,0.8043478260869565,0.8431876606683805,0.7437037037037038,0.8041237113402062,0.8886894075403949,0.9357970560601315,0.844632768361582
ADGRL4,,,,,0.12254901960784313,,,
ADGRV1,,,0.9261744966442953,,0.7210365853658537,0.8456375838926175,0.8343465045592705,
ADH5,0.639039039039039,,0.6946107784431138,0.7112462006079028,0.5358353510895884,0.6982591876208898,0.7858006042296073,0.7601626016260162
ADI1,,,0.18478260869565216,,0.18592528236316247,0.2376237623762376,0.246311010215664,
ADIPOR2,,0.9773095623987034,,,0.992546213476446,,0.9444444444444444,
ADNP,0.41008018327605955,0.3133514986376022,,0.3811764705882353,0.9895860453007029,0.9706896551724138,0.4523875241512559,0.9094076655052264
ADNP2,0.8351893095768375,,,,0.9072916666666667,0.7142857142857143,0.928644240570846,
ADO,0.6685934489402697,0.7052023121387283,,0.6605504587155964,0.6490670901151251,,,0.556390977443609
ADORA1,,,,,,,0.9842105263157894,
ADPRHL1,,,,,0.14555256064690028,,,
ADSS2,,,,,0.32873563218390806,,,
AEBP2,,,,0.912621359223301,0.8795620437956204,0.16666666666666666,0.2241555783009212,0.16666666666666666
AFAP1L2,0.41952506596306066,,0.49382716049382713,,,,,
AFDN,0.927891156462585,0.5333333333333333,0.7569444444444444,0.8533333333333334,0.6876859012492564,0.8830645161290323,,0.49846153846153846
AFF1,0.5846774193548387,,,,0.8437217705510388,,,
AFF3,,,,0.9516616314199395,,0.05803571428571429,,
AFF4,,0.784375,,0.6722689075630253,0.9756203744013932,,,
AFG3L2,,,,0.9634831460674157,,0.9308641975308642,,
AFMID,,0.8937007874015748,,,0.9541284403669725,,,
AFTPH,,,,0.956989247311828,0.9874749498997996,0.9134396355353075,,0.6914893617021277
AGA,,,,,0.8933649289099526,,,
AGAP1,0.9622195985832349,0.7426751592356687,0.9490084985835694,0.9513677811550152,0.9521646987587042,0.9226190476190477,0.6754511601260383,0.8425720620842572
AGAP2,0.18104184457728437,,0.31561461794019935,0.9542961608775137,0.8951156812339331,0.24553571428571427,0.9608677158655891,0.2621951219512195
AGAP3,0.29304029304029305,0.2540453074433657,0.15598885793871867,0.19803370786516855,0.20867526377491208,0.20406091370558377,0.19996048211815848,0.13087248322147652
AGBL4,,,,,,0.7241379310344828,,
AGBL5,0.5423728813559322,,,,0.12138728323699421,,0.621301775147929,
AGFG1,0.7366906474820144,0.4666666666666667,,0.6936542669584245,0.7066942719116632,0.5615615615615616,0.6550647032574743,0.6107784431137725
AGFG2,0.7664670658682635,,,,0.16972477064220184,,0.23076923076923078,
AGGF1,0.8244274809160306,0.38571428571428573,0.6697247706422018,0.4880952380952381,0.6841163310961969,0.6765578635014837,0.9475806451612904,
AGK,,,,,,,0.04439890710382514,
AGL,0.8485401459854015,,,,,,,0.8598130841121495
AGMAT,,,,,,,0.410958904109589,
AGO1,,,0.5031055900621118,0.48484848484848486,0.4830590513068732,0.453125,,0.35833333333333334
AGO2,,0.8355263157894737,,,0.924645390070922,,,
AGO3,0.8698224852071006,0.5,,,0.7195945945945946,,0.8740458015267175,
AGPAT3,0.7958452722063037,0.28415300546448086,0.5578947368421052,0.8469217970049917,0.7951874650251819,0.7978947368421052,0.7789983844911147,0.6271186440677966
AGPAT4,,0.8048780487804879,0.7083333333333334,0.9304635761589404,0.5663322185061316,,0.5082467929138669,0.5660377358490566
AGPAT5,0.9212962962962963,0.888235294117647,0.21176470588235294,,0.9769198489299202,0.20648967551622419,0.17788657690738474,
AGPS,0.7257683215130024,,,0.6147540983606558,0.720666161998486,,0.7496318114874816,0.5833333333333334
AGTPBP1,0.9029029029029029,0.736,0.7612359550561798,0.8164705882352942,0.9474650991917708,0.8848920863309353,0.7332567929582855,0.7023809523809523
AHCTF1,,0.3617021276595745,,,0.6105769230769231,0.6405228758169934,0.9804832713754646,0.7071428571428572
AHCYL1,0.9969348659003832,0.6301369863013698,0.7188558524651864,0.8954468802698144,0.9948502994011976,0.9882825577502511,0.9941385806991836,0.6721153846153847
AHCYL2,,0.81,,,,,,
AHDC1,,,,,,,,0.9473684210526315
AHI1,0.9681668496158068,0.734375,0.8127490039840638,0.8,0.9828532235939643,0.4567669172932331,0.7732737890759189,
AHNAK,,0.9685990338164251,0.9721669980119284,,,0.8987341772151899,,
AHSA1,,0.9333333333333333,,,0.9773746432939258,,,
AIDA,0.905395935529082,,,,,,,
AIF1L,0.8901408450704226,0.9357798165137615,0.9367945823927766,0.9294605809128631,0.959221501390176,0.8947368421052632,,0.8735177865612648
AIFM2,,,,,0.7965367965367965,,,
AIG1,0.8594507269789984,0.892018779342723,,0.900398406374502,0.7876510944135904,0.06043956043956044,0.9351316634553629,
AIMP1,0.7572692793931732,0.2968036529680365,0.4576923076923077,0.6594827586206896,0.5648614609571788,0.6798029556650246,0.7412742382271468,0.49411764705882355
AJAP1,,0.803921568627451,,,0.8140495867768595,0.6793893129770993,0.729368029739777,0.5454545454545454
AK1,0.11024345429490125,0.1432225063938619,0.040169133192389,0.18795888399412627,0.17748478701825557,0.9630177514792899,0.2594190394017831,0.21621621621621623
AK2,0.31039136302294196,0.15920398009950248,0.8962962962962963,0.2468354430379747,0.37630448127685695,0.20496894409937888,0.1928374655647383,0.23648648648648649
AK3,,,0.9642058165548099,,0.9246843709185895,0.7571428571428571,,
AK4,,,,0.9221105527638191,0.7102473498233216,0.8198757763975155,,0.8817891373801917
AK5,0.8304067570571239,0.9277504105090312,0.9679319371727748,0.9617117117117117,0.9555529216546166,0.9575123152709359,0.9318525409931387,0.9424379232505643
AK9,,0.7272727272727273,,0.7239583333333334,0.15240641711229946,0.125,,
AKAP1,0.9075425790754258,0.8235294117647058,,,0.8937135450421257,0.803921568627451,,
AKAP10,,0.6727272727272727,,,,,,
AKAP11,0.9723907766990292,0.8563829787234043,,0.9784876140808344,0.9113812802109272,0.8093907210732253,0.9848114300424765,
